EQUIVALENTS FOUND,,,
Wikidata URI,Wikidata label,Schema.org URI,Schema.org URI (generic)
http://www.wikidata.org/entity/P576,"dissolved, abolished or demolished",http://schema.org/dissolutionDate,
http://www.wikidata.org/entity/P577,publication date,http://schema.org/datePublished,
http://www.wikidata.org/entity/P580,start time,http://schema.org/startDate,
http://www.wikidata.org/entity/P580,start time,http://schema.org/startTime,
http://www.wikidata.org/entity/P580,start time,http://schema.org/dateCreated,
http://www.wikidata.org/entity/P582,end time,http://schema.org/endDate,
http://www.wikidata.org/entity/P6108,IIIF manifest,http://schema.org/url,
http://www.wikidata.org/entity/P625,coordinate location,http://schema.org/geo,
http://www.wikidata.org/entity/P6291,advertises,,http://schema.org/about
http://www.wikidata.org/entity/P6375,street address,http://schema.org/address,
http://www.wikidata.org/entity/P669,located on street,,http://schema.org/streetAddress
http://www.wikidata.org/entity/P674,characters,http://schema.org/character,
http://www.wikidata.org/entity/P69,educated at,http://schema.org/alumniOf,
http://www.wikidata.org/entity/P706,located on terrain feature,,http://schema.org/location
http://www.wikidata.org/entity/P747,has edition,http://schema.org/workExample,
http://www.wikidata.org/entity/P793,significant event,,http://schema.org/event
http://www.wikidata.org/entity/P840,narrative location,http://schema.org/contentLocation,
http://www.wikidata.org/entity/P856,official website,,http://schema.org/url
http://www.wikidata.org/entity/P859,sponsor,http://schema.org/sponsor,
http://www.wikidata.org/entity/P910,topic's main category,,http://schema.org/category
http://www.wikidata.org/entity/P921,main subject,http://schema.org/about,
http://www.wikidata.org/entity/P953,full work available at,,http://schema.org/url
http://www.wikidata.org/entity/P972,catalog,,http://schema.org/isPartOf
http://www.wikidata.org/entity/P98,editor,http://schema.org/editor,
http://www.wikidata.org/entity/P989,spoken text audio,,http://schema.org/audio
http://www.wikidata.org/entity/Q1002697,periodical,http://schema.org/Periodical,
http://www.wikidata.org/entity/Q1041638,exercise book,,http://schema.org/Service
http://www.wikidata.org/entity/Q10432784,bonadsmålning,,http://schema.org/Painting
http://www.wikidata.org/entity/Q1047113,specialty,,http://schema.org/Series
http://www.wikidata.org/entity/Q1048607,conviction,,http://schema.org/Thing
http://www.wikidata.org/entity/Q10563755,flagon,,http://schema.org/Product
http://www.wikidata.org/entity/Q1063801,tertiary source,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1065579,costume accessory,,http://schema.org/object
http://www.wikidata.org/entity/Q1068473,educational technology,,http://schema.org/Series
http://www.wikidata.org/entity/Q107,space,,http://schema.org/Series
http://www.wikidata.org/entity/Q10855061,archaeological find,,http://schema.org/object
http://www.wikidata.org/entity/Q11016,technology,,http://schema.org/Series
http://www.wikidata.org/entity/Q11019,machine,,http://schema.org/Product
http://www.wikidata.org/entity/Q11024,communication,,http://schema.org/Series
http://www.wikidata.org/entity/Q11028,information,,http://schema.org/Thing
http://www.wikidata.org/entity/Q11032,newspaper,http://schema.org/Newspaper,
http://www.wikidata.org/entity/Q11034,printing,,http://schema.org/Series
http://www.wikidata.org/entity/Q11060274,print,,http://schema.org/object
http://www.wikidata.org/entity/Q1110794,daily newspaper,,http://schema.org/Newspaper
http://www.wikidata.org/entity/Q111352,lexeme,,http://schema.org/Thing
http://www.wikidata.org/entity/Q11177771,artistic technique,,http://schema.org/Series
http://www.wikidata.org/entity/Q11202319,goldsmithing,,http://schema.org/Series
http://www.wikidata.org/entity/Q11269813,cave with prehistoric art,,http://schema.org/result
http://www.wikidata.org/entity/Q1131329,grotto,,http://schema.org/Landform
http://www.wikidata.org/entity/Q11348,function,,http://schema.org/Thing
http://www.wikidata.org/entity/Q11424,film,http://schema.org/Movie,
http://www.wikidata.org/entity/Q11438,solid,,http://schema.org/object
http://www.wikidata.org/entity/Q11460,clothing,,http://schema.org/object
http://www.wikidata.org/entity/Q1150070,change,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1156791,copying,,http://schema.org/Series
http://www.wikidata.org/entity/Q11642,pottery,,http://schema.org/object
http://www.wikidata.org/entity/Q11661,information technology,,http://schema.org/Service
http://www.wikidata.org/entity/Q11801536,winged altarpiece,,http://schema.org/VisualArtwork
http://www.wikidata.org/entity/Q1182203,Presentation miniature,,http://schema.org/Painting
http://www.wikidata.org/entity/Q1183543,device,,http://schema.org/object
http://www.wikidata.org/entity/Q11835431,engraving,,http://schema.org/Series
http://www.wikidata.org/entity/Q11862829,academic discipline,,http://schema.org/Series
http://www.wikidata.org/entity/Q1190554,occurrence,,http://schema.org/Thing
http://www.wikidata.org/entity/Q12041698,nátěrová hmota,,http://schema.org/object
http://www.wikidata.org/entity/Q12043905,pastel,,http://schema.org/Drawing
http://www.wikidata.org/entity/Q1207505,quality,,http://schema.org/Thing
http://www.wikidata.org/entity/Q121916,writing implement,,http://schema.org/object
http://www.wikidata.org/entity/Q12271,architecture,,http://schema.org/Series
http://www.wikidata.org/entity/Q1227640,direct positive process,,http://schema.org/Series
http://www.wikidata.org/entity/Q1231428,persuasion,,http://schema.org/Series
http://www.wikidata.org/entity/Q125191,photograph,http://schema.org/Photograph,
http://www.wikidata.org/entity/Q1261026,printed matter,,http://schema.org/object
http://www.wikidata.org/entity/Q12617225,religious literature,,http://schema.org/Series
http://www.wikidata.org/entity/Q12639,idiophone,,http://schema.org/Product
http://www.wikidata.org/entity/Q1274979,creature,,http://schema.org/Thing
http://www.wikidata.org/entity/Q12767945,language device,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1278452,polyptych,,http://schema.org/object
http://www.wikidata.org/entity/Q1291195,find spot,,http://schema.org/Thing
http://www.wikidata.org/entity/Q130901,binary relation,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1310239,component,,http://schema.org/object
http://www.wikidata.org/entity/Q13136,reference work,,http://schema.org/Series
http://www.wikidata.org/entity/Q132137,icon,,http://schema.org/Painting
http://www.wikidata.org/entity/Q13226383,facility,,http://schema.org/object
http://www.wikidata.org/entity/Q1323314,bag,,http://schema.org/Product
http://www.wikidata.org/entity/Q133250,sequence,,http://schema.org/Series
http://www.wikidata.org/entity/Q1338914,handbook,,http://schema.org/Series
http://www.wikidata.org/entity/Q134307,portrait,,http://schema.org/Series
http://www.wikidata.org/entity/Q13442814,scholarly article,http://schema.org/ScholarlyArticle,
http://www.wikidata.org/entity/Q134830,prefix,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1348645,learning material,,http://schema.org/Series
http://www.wikidata.org/entity/Q1357761,utensil,,http://schema.org/object
http://www.wikidata.org/entity/Q1365218,music box,,http://schema.org/Thing
http://www.wikidata.org/entity/Q13878858,natural process,,http://schema.org/Series
http://www.wikidata.org/entity/Q14524493,terrain,,http://schema.org/Landform
http://www.wikidata.org/entity/Q1473346,stained glass,,http://schema.org/object
http://www.wikidata.org/entity/Q14819853,learning or memory,,http://schema.org/Series
http://www.wikidata.org/entity/Q149010,trilogy,,http://schema.org/Series
http://www.wikidata.org/entity/Q14912053,nervous system process,,http://schema.org/Series
http://www.wikidata.org/entity/Q14952,headgear,,http://schema.org/Product
http://www.wikidata.org/entity/Q1496857,prayer book,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1496967,territorial entity,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1497375,ensemble,,http://schema.org/Thing
http://www.wikidata.org/entity/Q15077340,memorial monument,,http://schema.org/object
http://www.wikidata.org/entity/Q15123870,lithograph,,http://schema.org/Series
http://www.wikidata.org/entity/Q15141646,data storage,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1521410,kitchenware,,http://schema.org/object
http://www.wikidata.org/entity/Q15229117,picture clock,,http://schema.org/Thing
http://www.wikidata.org/entity/Q15303351,art material,http://schema.org/artMedium,
http://www.wikidata.org/entity/Q15401930,product,,http://schema.org/Thing
http://www.wikidata.org/entity/Q154954,natural person,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1554231,resource,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1559267,mechanical musical instrument,,http://schema.org/Product
http://www.wikidata.org/entity/Q15621286,intellectual work,,http://schema.org/Thing
http://www.wikidata.org/entity/Q15642541,human-geographic territorial entity,,http://schema.org/Thing
http://www.wikidata.org/entity/Q15709879,artwork series,,http://schema.org/object
http://www.wikidata.org/entity/Q15711026,altarpiece,,http://schema.org/VisualArtwork
http://www.wikidata.org/entity/Q15727816,painting series,,http://schema.org/object
http://www.wikidata.org/entity/Q159344,heterotroph,,http://schema.org/object
http://www.wikidata.org/entity/Q15989253,part of,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1622217,figurative art,,http://schema.org/Series
http://www.wikidata.org/entity/Q1640824,inscription,,http://schema.org/object
http://www.wikidata.org/entity/Q164509,omnivore,,http://schema.org/object
http://www.wikidata.org/entity/Q16686022,natural physical object,,http://schema.org/object
http://www.wikidata.org/entity/Q16686448,artificial entity,,http://schema.org/Thing
http://www.wikidata.org/entity/Q16722960,phenomenon,,http://schema.org/Thing
http://www.wikidata.org/entity/Q16744570,tablet,,http://schema.org/object
http://www.wikidata.org/entity/Q16798631,equipment,,http://schema.org/object
http://www.wikidata.org/entity/Q16829513,intermediate product,,http://schema.org/object
http://www.wikidata.org/entity/Q16887380,group,,http://schema.org/Thing
http://www.wikidata.org/entity/Q16889133,class,,http://schema.org/Thing
http://www.wikidata.org/entity/Q16896124,bin,,http://schema.org/Series
http://www.wikidata.org/entity/Q16905563,cycle of paintings,,http://schema.org/object
http://www.wikidata.org/entity/Q17008256,collection,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1704572,continuum,,http://schema.org/Thing
http://www.wikidata.org/entity/Q170584,project,,http://schema.org/Series
http://www.wikidata.org/entity/Q170658,creativity,,http://schema.org/Series
http://www.wikidata.org/entity/Q170980,obelisk,,http://schema.org/object
http://www.wikidata.org/entity/Q170984,crown,,http://schema.org/Product
http://www.wikidata.org/entity/Q17281278,increase,,http://schema.org/Thing
http://www.wikidata.org/entity/Q172839,photographic process,,http://schema.org/Series
http://www.wikidata.org/entity/Q17334923,location,http://schema.org/Place,
http://www.wikidata.org/entity/Q17350442,venue,,http://schema.org/object
http://www.wikidata.org/entity/Q17379525,pottery ware,,http://schema.org/object
http://www.wikidata.org/entity/Q174219,paint,,http://schema.org/Series
http://www.wikidata.org/entity/Q1746392,small monument,,http://schema.org/object
http://www.wikidata.org/entity/Q17489160,bust,,http://schema.org/Sculpture
http://www.wikidata.org/entity/Q17489659,group of works,,http://schema.org/Thing
http://www.wikidata.org/entity/Q17517379,animated short film,,http://schema.org/Movie
http://www.wikidata.org/entity/Q17537576,creative work,http://schema.org/CreativeWork,
http://www.wikidata.org/entity/Q1754533,source text,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1754581,Evangeliary,,http://schema.org/Series
http://www.wikidata.org/entity/Q1756942,partial function,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1772,epitaph,,http://schema.org/Product
http://www.wikidata.org/entity/Q177646,subset,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1784021,artwork copy,,http://schema.org/object
http://www.wikidata.org/entity/Q178659,illustration,,http://schema.org/ImageObject
http://www.wikidata.org/entity/Q1791627,cultural artifact,,http://schema.org/object
http://www.wikidata.org/entity/Q1791899,cultural magazine,,http://schema.org/object
http://www.wikidata.org/entity/Q1792379,art genre,,http://schema.org/genre
http://www.wikidata.org/entity/Q179700,statue,,http://schema.org/Sculpture
http://www.wikidata.org/entity/Q180160,metadata,,http://schema.org/Thing
http://www.wikidata.org/entity/Q18218093,etching,,http://schema.org/object
http://www.wikidata.org/entity/Q18219090,woodcut print,,http://schema.org/Series
http://www.wikidata.org/entity/Q18247357,group of structures or buildings,,http://schema.org/Thing
http://www.wikidata.org/entity/Q1836700,manufactured good,,http://schema.org/object
http://www.wikidata.org/entity/Q18396864,aquatint print,,http://schema.org/object
http://www.wikidata.org/entity/Q184303,gift,,http://schema.org/object
http://www.wikidata.org/entity/Q184872,recreation,,http://schema.org/Series
http://www.wikidata.org/entity/Q18573970,group of paintings,,http://schema.org/Thing
http://www.wikidata.org/entity/Q18593264,item of collection or exhibition,,http://schema.org/object
http://www.wikidata.org/entity/Q18704634,railway museum,,http://schema.org/Museum
http://www.wikidata.org/entity/Q18761202,watercolor painting,,http://schema.org/Drawing
http://www.wikidata.org/entity/Q18887969,copper engraving,,http://schema.org/Series
http://www.wikidata.org/entity/Q1914636,activity,,http://schema.org/Series
http://www.wikidata.org/entity/Q191851,vase,,http://schema.org/Series
http://www.wikidata.org/entity/Q193395,data storage,,http://schema.org/Service
http://www.wikidata.org/entity/Q194177,intaglio printing,,http://schema.org/Series
http://www.wikidata.org/entity/Q1944382,moneme,,http://schema.org/Thing
http://www.wikidata.org/entity/Q19603939,building component,,http://schema.org/object
http://www.wikidata.org/entity/Q19828370,drawing series,,http://schema.org/object
http://www.wikidata.org/entity/Q19829125,absence,,http://schema.org/Thing
http://www.wikidata.org/entity/Q20088882,triple,,http://schema.org/Series
http://www.wikidata.org/entity/Q2018526,arts,,http://schema.org/Series
http://www.wikidata.org/entity/Q202866,animated film,,http://schema.org/Movie
http://www.wikidata.org/entity/Q203066,relation,,http://schema.org/Thing
http://www.wikidata.org/entity/Q204330,gouache paint,,http://schema.org/Series
http://www.wikidata.org/entity/Q20437094,installation,,http://schema.org/Sculpture
http://www.wikidata.org/entity/Q206615,building material,,http://schema.org/object
http://www.wikidata.org/entity/Q20744439,photograph series,,http://schema.org/object
http://www.wikidata.org/entity/Q20817253,linguistic unit,,http://schema.org/Thing
http://www.wikidata.org/entity/Q2086138,plateel,,http://schema.org/object
http://www.wikidata.org/entity/Q20936777,series of specified number of works,,http://schema.org/CreativeWorkSeries
http://www.wikidata.org/entity/Q20937557,series,http://schema.org/Series,
http://www.wikidata.org/entity/Q209671,faience,,http://schema.org/object
http://www.wikidata.org/entity/Q2101618,gift of the children's book week,,http://schema.org/object
http://www.wikidata.org/entity/Q21029893,religious object,,http://schema.org/object
http://www.wikidata.org/entity/Q21061279,stained glass window,,http://schema.org/Product
http://www.wikidata.org/entity/Q210729,electrical element,,http://schema.org/Product
http://www.wikidata.org/entity/Q21146257,type,,http://schema.org/Thing
http://www.wikidata.org/entity/Q2116411,popular magazine,,http://schema.org/object
http://www.wikidata.org/entity/Q21191270,television series episode,http://schema.org/TVEpisode,
http://www.wikidata.org/entity/Q213051,non-fiction,,http://schema.org/Thing
http://www.wikidata.org/entity/Q2133296,space,,http://schema.org/object
http://www.wikidata.org/entity/Q213371,vitreous enamel,,http://schema.org/artMedium
http://www.wikidata.org/entity/Q213924,codex,,http://schema.org/Manuscript
http://www.wikidata.org/entity/Q214609,base material,,http://schema.org/object
http://www.wikidata.org/entity/Q21514702,abandoned project,,http://schema.org/Series
http://www.wikidata.org/entity/Q215627,person,http://schema.org/Person,
http://www.wikidata.org/entity/Q21647744,mezzotint print,,http://schema.org/Series
http://www.wikidata.org/entity/Q217594,class (set theory),,http://schema.org/Thing
http://www.wikidata.org/entity/Q21818572,cult object,,http://schema.org/object
http://www.wikidata.org/entity/Q21818579,liturgical object,,http://schema.org/object
http://www.wikidata.org/entity/Q219423,mural,,http://schema.org/Place
http://www.wikidata.org/entity/Q2200417,cognition,,http://schema.org/Series
http://www.wikidata.org/entity/Q220659,archaeological artifact,,http://schema.org/object
http://www.wikidata.org/entity/Q22075301,textile artwork,,http://schema.org/VisualArtwork
http://www.wikidata.org/entity/Q22078284,fresco series,,http://schema.org/object
http://www.wikidata.org/entity/Q2221906,geographic location,,http://schema.org/Place
http://www.wikidata.org/entity/Q22269697,multi-organism process,,http://schema.org/Series
http://www.wikidata.org/entity/Q22272508,multi-organism behavior,,http://schema.org/Series
http://www.wikidata.org/entity/Q22294683,intraspecies interaction between organisms,,http://schema.org/Series
http://www.wikidata.org/entity/Q22299433,multicellular organismal process,,http://schema.org/Series
http://www.wikidata.org/entity/Q22299483,system process,,http://schema.org/Series
http://www.wikidata.org/entity/Q223393,literary genre,,http://schema.org/genre
http://www.wikidata.org/entity/Q223557,physical object,,http://schema.org/object
http://www.wikidata.org/entity/Q2250844,school book,,http://schema.org/Series
http://www.wikidata.org/entity/Q22569957,screen print,,http://schema.org/object
http://www.wikidata.org/entity/Q22669139,fresco,,http://schema.org/Painting
http://www.wikidata.org/entity/Q22669850,calligraphic work,,http://schema.org/object
http://www.wikidata.org/entity/Q22669857,collage,,http://schema.org/object
http://www.wikidata.org/entity/Q22809652,manufactured object,,http://schema.org/object
http://www.wikidata.org/entity/Q22811462,type of manufactured good,,http://schema.org/Thing
http://www.wikidata.org/entity/Q23009552,exchange,,http://schema.org/Action
http://www.wikidata.org/entity/Q23009675,transfer,,http://schema.org/Action
http://www.wikidata.org/entity/Q23013246,copy,,http://schema.org/Thing
http://www.wikidata.org/entity/Q2305295,weekly newspaper,,http://schema.org/Periodical
http://www.wikidata.org/entity/Q230855,physical state,,http://schema.org/Thing
http://www.wikidata.org/entity/Q234460,text,,http://schema.org/Thing
http://www.wikidata.org/entity/Q23657281,drypoint print,,http://schema.org/Series
http://www.wikidata.org/entity/Q2383811,office supply,,http://schema.org/Product
http://www.wikidata.org/entity/Q23958946,individual,,http://schema.org/Thing
http://www.wikidata.org/entity/Q2398990,technology museum,,http://schema.org/Museum
http://www.wikidata.org/entity/Q24229398,agent,,http://schema.org/Thing
http://www.wikidata.org/entity/Q2424752,product,http://schema.org/Product,
http://www.wikidata.org/entity/Q2425052,electrical apparatus,,http://schema.org/Product
http://www.wikidata.org/entity/Q24398318,religious building,,http://schema.org/object
http://www.wikidata.org/entity/Q246672,mathematical object,,http://schema.org/Thing
http://www.wikidata.org/entity/Q24862,short film,,http://schema.org/Movie
http://www.wikidata.org/entity/Q2516357,transport museum,,http://schema.org/Museum
http://www.wikidata.org/entity/Q2593413,tulip vase,,http://schema.org/Series
http://www.wikidata.org/entity/Q26037047,culinary equipment,,http://schema.org/object
http://www.wikidata.org/entity/Q262343,assemblage,,http://schema.org/object
http://www.wikidata.org/entity/Q2646517,bridal crown,,http://schema.org/Product
http://www.wikidata.org/entity/Q2647254,study,,http://schema.org/object
http://www.wikidata.org/entity/Q26720107,subject of a right,,http://schema.org/Thing
http://www.wikidata.org/entity/Q267228,sound generator,,http://schema.org/object
http://www.wikidata.org/entity/Q26907166,temporal entity,,http://schema.org/Thing
http://www.wikidata.org/entity/Q2695280,technique,,http://schema.org/Series
http://www.wikidata.org/entity/Q27096213,geographic entity,,http://schema.org/Thing
http://www.wikidata.org/entity/Q27096220,natural geographic entity,,http://schema.org/Thing
http://www.wikidata.org/entity/Q27096235,artificial geographic entity,,http://schema.org/object
http://www.wikidata.org/entity/Q271588,printmaking,,http://schema.org/Series
http://www.wikidata.org/entity/Q271669,landform,http://schema.org/Landform,
http://www.wikidata.org/entity/Q2722260,attribute,,http://schema.org/Thing
http://www.wikidata.org/entity/Q27801,non-fiction literature,,http://schema.org/Series
http://www.wikidata.org/entity/Q28367692,cavity,,http://schema.org/Series
http://www.wikidata.org/entity/Q28555911,ordinary matter,,http://schema.org/object
http://www.wikidata.org/entity/Q2858615,electronic machine,,http://schema.org/Thing
http://www.wikidata.org/entity/Q2860334,church architecture,,http://schema.org/Series
http://www.wikidata.org/entity/Q286583,manifestation,,http://schema.org/object
http://www.wikidata.org/entity/Q28728771,material substance,,http://schema.org/object
http://www.wikidata.org/entity/Q28732711,physical substance,,http://schema.org/object
http://www.wikidata.org/entity/Q287455,clamshell,,http://schema.org/object
http://www.wikidata.org/entity/Q28777669,portrait sculpture,,http://schema.org/Sculpture
http://www.wikidata.org/entity/Q28796476,signs of authenticity of banknotes,,http://schema.org/object
http://www.wikidata.org/entity/Q28797,applied science,,http://schema.org/Series
http://www.wikidata.org/entity/Q28823,textile,,http://schema.org/object
http://www.wikidata.org/entity/Q28870066,ensemble of works of art,,http://schema.org/object
http://www.wikidata.org/entity/Q28877,goods,,http://schema.org/object
http://www.wikidata.org/entity/Q28886448,work with multiple executions,,http://schema.org/Thing
http://www.wikidata.org/entity/Q28921572,common matter,,http://schema.org/object
http://www.wikidata.org/entity/Q28966125,needlework,,http://schema.org/object
http://www.wikidata.org/entity/Q28966302,embroidery,,http://schema.org/object
http://www.wikidata.org/entity/Q28972621,headdress,,http://schema.org/Product
http://www.wikidata.org/entity/Q2910675,unfinished creative work,,http://schema.org/Series
http://www.wikidata.org/entity/Q29430681,triad,,http://schema.org/Thing
http://www.wikidata.org/entity/Q29431432,dyad,,http://schema.org/Thing
http://www.wikidata.org/entity/Q2944660,lexical item,,http://schema.org/Thing
http://www.wikidata.org/entity/Q29651224,natural object,,http://schema.org/Thing
http://www.wikidata.org/entity/Q29651519,mental object,,http://schema.org/Thing
http://www.wikidata.org/entity/Q2990593,animal behavior,,http://schema.org/Series
http://www.wikidata.org/entity/Q2995644,result,http://schema.org/result,
http://www.wikidata.org/entity/Q2996394,biological process,,http://schema.org/Series
http://www.wikidata.org/entity/Q30142173,sign of authenticity,,http://schema.org/object
http://www.wikidata.org/entity/Q3054889,measurable set,,http://schema.org/Series
http://www.wikidata.org/entity/Q3058218,measurable space,,http://schema.org/Series
http://www.wikidata.org/entity/Q31464082,source,,http://schema.org/Thing
http://www.wikidata.org/entity/Q3249551,process,,http://schema.org/Series
http://www.wikidata.org/entity/Q3300034,painting material,,http://schema.org/artMedium
http://www.wikidata.org/entity/Q3305213,painting,http://schema.org/Painting,
http://www.wikidata.org/entity/Q3323788,reception piece,,http://schema.org/object
http://www.wikidata.org/entity/Q3327760,writing surface,,http://schema.org/Service
http://www.wikidata.org/entity/Q3331189,"version, edition, or translation",,http://schema.org/object
http://www.wikidata.org/entity/Q3348164,Catholic liturgical object,,http://schema.org/object
http://www.wikidata.org/entity/Q33506,museum,http://schema.org/Museum,
http://www.wikidata.org/entity/Q336,science,,http://schema.org/Series
http://www.wikidata.org/entity/Q3360230,packaging,,http://schema.org/Thing
http://www.wikidata.org/entity/Q337060,perceptible object,,http://schema.org/object
http://www.wikidata.org/entity/Q340169,communication medium,,http://schema.org/object
http://www.wikidata.org/entity/Q34379,musical instrument,,http://schema.org/Product
http://www.wikidata.org/entity/Q34394,belief,,http://schema.org/Thing
http://www.wikidata.org/entity/Q3505845,state,,http://schema.org/Thing
http://www.wikidata.org/entity/Q35120,something,http://schema.org/Thing,
http://www.wikidata.org/entity/Q3514338,printing technique,,http://schema.org/Series
http://www.wikidata.org/entity/Q35145263,natural geographic object,,http://schema.org/object
http://www.wikidata.org/entity/Q35145743,human-made landform,,http://schema.org/object
http://www.wikidata.org/entity/Q3523102,information source,,http://schema.org/Thing
http://www.wikidata.org/entity/Q35473,window,,http://schema.org/object
http://www.wikidata.org/entity/Q35509,cave,,http://schema.org/object
http://www.wikidata.org/entity/Q35758,matter,,http://schema.org/object
http://www.wikidata.org/entity/Q35825432,converter,,http://schema.org/Thing
http://www.wikidata.org/entity/Q36161,set,,http://schema.org/Thing
http://www.wikidata.org/entity/Q362200,accessory,,http://schema.org/object
http://www.wikidata.org/entity/Q3637297,Beatus manuscript,,http://schema.org/Manuscript
